Ensembl	symbol	KEGG
LOCMI16443	LOCMI16443	beta-Alanine metabolism:map00410
LOCMI15899	LOCMI15899	beta-Alanine metabolism:map00410
LOCMI12827	LOCMI12827	Fructose and mannose metabolism:map00051
LOCMI15797	LOCMI15797	Sphingolipid metabolism:map00600
LOCMI15990	LOCMI15990	Oxidative phosphorylation:map00190
LOCMI15777	LOCMI15777	Oxidative phosphorylation:map00190
LOCMI16321	LOCMI16321	Phototransduction - fly:map04745
LOCMI01353	LOCMI01353	Phototransduction - fly:map04745
LOCMI14740	LOCMI14740	Phototransduction - fly:map04745
LOCMI16054	LOCMI16054	Linoleic acid metabolism:map00591
LOCMI15989	LOCMI15989	Carbon metabolism:map01200
LOCMI15899	LOCMI15899	Carbon metabolism:map01200
LOCMI15879	LOCMI15879	Carbon metabolism:map01200
LOCMI09995	LOCMI09995	Carbon metabolism:map01200
LOCMI04519	LOCMI04519	Lysine degradation:map00310
LOCMI04779	LOCMI04779	Lysosome:map04142
LOCMI15797	LOCMI15797	Lysosome:map04142
LOCMI15777	LOCMI15777	Lysosome:map04142
LOCMI13709	LOCMI13709	Endocytosis:map04144
LOCMI01282	LOCMI01282	Endocytosis:map04144
LOCMI01525	LOCMI01525	Endocytosis:map04144
LOCMI15755	LOCMI15755	MAPK signaling pathway - fly:map04013
LOCMI15746	LOCMI15746	MAPK signaling pathway - fly:map04013
LOCMI15745	LOCMI15745	MAPK signaling pathway - fly:map04013
LOCMI15899	LOCMI15899	Valine, leucine and isoleucine degradation:map00280
LOCMI15899	LOCMI15899	Propanoate metabolism:map00640
LOCMI16443	LOCMI16443	Alanine, aspartate and glutamate metabolism:map00250
LOCMI09745	LOCMI09745	Phagosome:map04145
LOCMI16321	LOCMI16321	Phagosome:map04145
LOCMI15777	LOCMI15777	Phagosome:map04145
LOCMI01353	LOCMI01353	Phagosome:map04145
LOCMI12121	LOCMI12121	Phagosome:map04145
LOCMI00187	LOCMI00187	Ubiquitin mediated proteolysis:map04120
LOCMI05987	LOCMI05987	Ubiquitin mediated proteolysis:map04120
LOCMI03316	LOCMI03316	ECM-receptor interaction:map04512
LOCMI12038	LOCMI12038	ECM-receptor interaction:map04512
LOCMI08289	LOCMI08289	ECM-receptor interaction:map04512
LOCMI10699	LOCMI10699	ECM-receptor interaction:map04512
LOCMI04186	LOCMI04186	ECM-receptor interaction:map04512
LOCMI04029	LOCMI04029	Glycine, serine and threonine metabolism:map00260
LOCMI15755	LOCMI15755	Dorso-ventral axis formation:map04320
LOCMI15745	LOCMI15745	Dorso-ventral axis formation:map04320
LOCMI09783	LOCMI09783	Peroxisome:map04146
LOCMI09257	LOCMI09257	Peroxisome:map04146
LOCMI16025	LOCMI16025	Peroxisome:map04146
LOCMI15689	LOCMI15689	Metabolism of xenobiotics by cytochrome P450:map00980
LOCMI13140	LOCMI13140	Pyrimidine metabolism:map00240
LOCMI13140	LOCMI13140	RNA polymerase:map03020
LOCMI15879	LOCMI15879	Glycolysis / Gluconeogenesis:map00010
LOCMI09995	LOCMI09995	Glycolysis / Gluconeogenesis:map00010
LOCMI17284	LOCMI17284	Tyrosine metabolism:map00350
LOCMI12891	LOCMI12891	Glutathione metabolism:map00480
LOCMI15689	LOCMI15689	Glutathione metabolism:map00480
LOCMI16260	LOCMI16260	Glutathione metabolism:map00480
LOCMI17048	LOCMI17048	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17331	LOCMI17331	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI16589	LOCMI16589	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI15755	LOCMI15755	Jak-STAT signaling pathway:map04630
LOCMI15746	LOCMI15746	Jak-STAT signaling pathway:map04630
LOCMI01016	LOCMI01016	SNARE interactions in vesicular transport:map04130
LOCMI17284	LOCMI17284	Histidine metabolism:map00340
LOCMI17284	LOCMI17284	Tryptophan metabolism:map00380
LOCMI16443	LOCMI16443	Butanoate metabolism:map00650
LOCMI05430	LOCMI05430	Ribosome:map03010
LOCMI15755	LOCMI15755	FoxO signaling pathway:map04068
LOCMI16584	LOCMI16584	FoxO signaling pathway:map04068
LOCMI12746	LOCMI12746	Basal transcription factors:map03022
LOCMI16516	LOCMI16516	Hedgehog signaling pathway:map04340
LOCMI12774	LOCMI12774	Hippo signaling pathway -fly:map04391
LOCMI16321	LOCMI16321	Hippo signaling pathway -fly:map04391
LOCMI01353	LOCMI01353	Hippo signaling pathway -fly:map04391
LOCMI16397	LOCMI16397	Phenylalanine metabolism:map00360
LOCMI17284	LOCMI17284	Phenylalanine metabolism:map00360
LOCMI16397	LOCMI16397	Phenylalanine, tyrosine and tryptophan biosynthesis:map00400
LOCMI16038	LOCMI16038	Glycerolipid metabolism:map00561
LOCMI09767	LOCMI09767	Nitrogen metabolism:map00910
LOCMI15989	LOCMI15989	Glyoxylate and dicarboxylate metabolism:map00630
LOCMI15689	LOCMI15689	Drug metabolism - cytochrome P450:map00982
LOCMI16584	LOCMI16584	mTOR signaling pathway:map04150
LOCMI15879	LOCMI15879	Pyruvate metabolism:map00620
LOCMI09995	LOCMI09995	Pyruvate metabolism:map00620
LOCMI16443	LOCMI16443	Taurine and hypotaurine metabolism:map00430
LOCMI08702	LOCMI08702	Purine metabolism:map00230
LOCMI13140	LOCMI13140	Purine metabolism:map00230
LOCMI15821	LOCMI15821	Fatty acid metabolism:map01212
LOCMI15899	LOCMI15899	Fatty acid metabolism:map01212
LOCMI16025	LOCMI16025	Fatty acid metabolism:map01212
LOCMI15989	LOCMI15989	Biosynthesis of amino acids:map01230
LOCMI16397	LOCMI16397	Biosynthesis of amino acids:map01230
LOCMI16054	LOCMI16054	Ether lipid metabolism:map00565
LOCMI09656	LOCMI09656	RNA degradation:map03018
LOCMI15821	LOCMI15821	Fatty acid degradation:map00071
LOCMI15899	LOCMI15899	Fatty acid degradation:map00071
LOCMI16025	LOCMI16025	Fatty acid degradation:map00071
LOCMI07451	LOCMI07451	Terpenoid backbone biosynthesis:map00900
LOCMI16054	LOCMI16054	Arachidonic acid metabolism:map00590
LOCMI16260	LOCMI16260	Arachidonic acid metabolism:map00590
LOCMI15989	LOCMI15989	Citrate cycle (TCA cycle):map00020
LOCMI15879	LOCMI15879	Citrate cycle (TCA cycle):map00020
LOCMI09995	LOCMI09995	Citrate cycle (TCA cycle):map00020
LOCMI16054	LOCMI16054	alpha-Linolenic acid metabolism:map00592
LOCMI15989	LOCMI15989	2-Oxocarboxylic acid metabolism:map01210
LOCMI03252	LOCMI03252	Proteasome:map03050
LOCMI16054	LOCMI16054	Glycerophospholipid metabolism:map00564
LOCMI16056	LOCMI16056	Glycerophospholipid metabolism:map00564
LOCMI15836	LOCMI15836	Glycerophospholipid metabolism:map00564
LOCMI16516	LOCMI16516	Wnt signaling pathway:map04310
LOCMI05987	LOCMI05987	Wnt signaling pathway:map04310
