Ensembl	symbol	KEGG
LOCMI15852	LOCMI15852	Oxidative phosphorylation:map00190
LOCMI15467	LOCMI15467	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI13600	LOCMI13600	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17331	LOCMI17331	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI17048	LOCMI17048	Amino sugar and nucleotide sugar metabolism:map00520
LOCMI15975	LOCMI15975	Carbon metabolism:map01200
LOCMI15467	LOCMI15467	Lysosome:map04142
LOCMI05942	LOCMI05942	Lysosome:map04142
LOCMI15758	LOCMI15758	MAPK signaling pathway - fly:map04013
LOCMI15745	LOCMI15745	MAPK signaling pathway - fly:map04013
LOCMI16672	LOCMI16672	Circadian rhythm - fly:map04711
LOCMI10363	LOCMI10363	Phagosome:map04145
LOCMI15467	LOCMI15467	Glycosaminoglycan degradation:map00531
LOCMI10699	LOCMI10699	ECM-receptor interaction:map04512
LOCMI12984	LOCMI12984	Glycine, serine and threonine metabolism:map00260
LOCMI15745	LOCMI15745	Dorso-ventral axis formation:map04320
LOCMI07174	LOCMI07174	Peroxisome:map04146
LOCMI09783	LOCMI09783	Peroxisome:map04146
LOCMI15467	LOCMI15467	Other glycan degradation:map00511
LOCMI05942	LOCMI05942	Other glycan degradation:map00511
LOCMI15467	LOCMI15467	Glycosphingolipid biosynthesis - globo series:map00603
LOCMI15975	LOCMI15975	Glutathione metabolism:map00480
LOCMI09548	LOCMI09548	Jak-STAT signaling pathway:map04630
LOCMI16206	LOCMI16206	Insect hormone biosynthesis:map00981
LOCMI16234	LOCMI16234	Insect hormone biosynthesis:map00981
LOCMI01555	LOCMI01555	FoxO signaling pathway:map04068
LOCMI15490	LOCMI15490	Starch and sucrose metabolism:map00500
LOCMI16038	LOCMI16038	Glycerolipid metabolism:map00561
LOCMI15467	LOCMI15467	Glycosphingolipid biosynthesis - ganglio series:map00604
LOCMI15975	LOCMI15975	Pentose phosphate pathway:map00030
